,geometry,landuse,industrial,caravan:rental,name,shop,city,addr:city,addr:housenumber,addr:postcode,addr:street,alt_name,brand,brand:wikidata,description,operator,start_date,website,access,place,barrier,fence_type,waterway,note,man_made,material,depot,cargo:container,fixme,harbour,port:category,port:type,seamark:harbour:category,seamark:type,seaway,operator:wikidata,operator:wikipedia,plant:method,plant:output:electricity,plant:source,power,ref:EU:ENTSOE_EIC,wikidata,wikipedia,contact:phone,cargo,port,name:en,name:it,plant:type,phone,source,amenity,fee,residential,email,building,fax,ref:vatin,type,name:vi,compressed_air,fuel:cng,fuel:diesel,fuel:lpg,fuel:octane_95,opening_hours,self_service,wheelchair,fuel:GTL_diesel,fuel:octane_100,ref:mise,pipeline,substance,substation,area,brand:wikipedia,contact:city,contact:housenumber,contact:postcode,contact:street,direction,not:brand:wikidata,addr:hamlet,addr:province,addr:state,check_date:opening_hours,opening_hours:signed,fuel:adblue,contact:email,contact:facebook,trade,old_name
10,"POLYGON ((12.4793144 45.4548114, 12.479589 45.4541063, 12.4797935 45.4534323, 12.4789144 45.4530903, 12.4784316 45.4529614, 12.4780025 45.4528711, 12.4777409 45.4528448, 12.4773949 45.4528194, 12.4770194 45.4528121, 12.4747409 45.452793, 12.4744217 45.4535908, 12.4744324 45.4536576, 12.474474 45.4537046, 12.4745585 45.4537507, 12.4767512 45.4541778, 12.4768437 45.4542211, 12.4768934 45.4542663, 12.4769081 45.4543237, 12.4769148 45.4543585, 12.4793144 45.4548114))",residential,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"POLYGON ((12.4613044 45.4627296, 12.4612695 45.4625142, 12.4626012 45.4624079, 12.4626488 45.46266, 12.4623591 45.4626694, 12.4618462 45.4626859, 12.4617724 45.4626873, 12.4615914 45.462699, 12.4613044 45.4627296))",residential,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"POLYGON ((12.4696206 45.4557301, 12.4699143 45.4557912, 12.4699431 45.4556699, 12.4701852 45.4556256, 12.4701262 45.4550532, 12.469573 45.4549812, 12.4696206 45.4557301))",residential,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"POLYGON ((12.470466 45.4555703, 12.4714488 45.4555257, 12.4713868 45.4549224, 12.4705682 45.4549642, 12.4703266 45.4549765, 12.4703206 45.4550786, 12.4704245 45.4550706, 12.470466 45.4555703))",residential,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"POLYGON ((12.4694773 45.4523001, 12.4699067 45.4522946, 12.4698914 45.4518432, 12.4694539 45.4516632, 12.4694773 45.4523001))",residential,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"POLYGON ((12.4705682 45.4549642, 12.4713868 45.4549224, 12.4713254 45.4542876, 12.47117 45.4527245, 12.4716953 45.4527067, 12.4718385 45.452691, 12.4718539 45.4526741, 12.4704404 45.4520815, 12.4703459 45.454391, 12.4705559 45.4543844, 12.4705682 45.4549642))",residential,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"POLYGON ((12.5035386 45.4626479, 12.5019677 45.4623303, 12.5022983 45.4615611, 12.5034862 45.4618027, 12.5032625 45.462356, 12.5036316 45.4624249, 12.5035386 45.4626479))",residential,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"POLYGON ((12.5045966 45.462848, 12.5053261 45.4629855, 12.5054522 45.4625415, 12.5053583 45.4625236, 12.5054765 45.4621899, 12.5049009 45.4620786, 12.5045966 45.462848))",residential,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"POLYGON ((12.4609543 45.4668324, 12.4606472 45.4669049, 12.4605453 45.4665625, 12.4603958 45.4665855, 12.4599847 45.4651545, 12.4604722 45.4650722, 12.4605245 45.4652852, 12.4604756 45.4652927, 12.4605614 45.4656135, 12.4606727 45.4660452, 12.4608088 45.4665385, 12.4608812 45.4665282, 12.4609543 45.4668324))",residential,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"POLYGON ((12.4582902 45.4654526, 12.4581715 45.4651629, 12.4592196 45.4649598, 12.459288 45.4652156, 12.4587938 45.4653388, 12.4582902 45.4654526))",residential,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"POLYGON ((12.4592377 45.4648572, 12.4591063 45.4643446, 12.4587522 45.4644029, 12.4586557 45.4643982, 12.4584505 45.4643926, 12.4583714 45.4644029, 12.4575627 45.4645685, 12.4577183 45.4649221, 12.4576727 45.4649306, 12.4576271 45.4649532, 12.4575949 45.4649955, 12.4575949 45.4650369, 12.457611 45.4650745, 12.4576458 45.4651056, 12.4576887 45.4651225, 12.4577411 45.4651291, 12.4578014 45.4651215, 12.4592377 45.4648572))",residential,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"POLYGON ((12.5350743 45.4693399, 12.5351574 45.4691328, 12.5358952 45.4692785, 12.5358121 45.4694856, 12.5350743 45.4693399))",commercial,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"MULTIPOLYGON (((12.2234557 45.4907787, 12.223369 45.4907069, 12.2230699 45.4905514, 12.2228446 45.4904779, 12.2227811 45.490515, 12.2228576 45.4915199, 12.2229978 45.4916606, 12.2233052 45.4919005, 12.2239832 45.492314, 12.2243527 45.4921163, 12.2244188 45.492081, 12.2244605 45.4920587, 12.2248211 45.4918044, 12.2248848 45.4917595, 12.2240566 45.4912735, 12.2236802 45.4910001, 12.2234557 45.4907787)), ((12.2622213 45.4805262, 12.2600766 45.4791882, 12.2573347 45.4806571, 12.2506583 45.487697, 12.2495963 45.4868902, 12.2495848 45.4868815, 12.248742 45.4858819, 12.2478847 45.4848369, 12.2476982 45.484603, 12.2472189 45.483974, 12.2471166 45.483819, 12.2469708 45.4837557, 12.2464514 45.4830219, 12.2458197 45.4832585, 12.2449726 45.482693, 12.2447445 45.4825408, 12.2438308 45.4827811, 12.2426072 45.4831029, 12.2414976 45.4808028, 12.2414545 45.4807135, 12.2401308 45.4810167, 12.2393133 45.4812039, 12.2354258 45.4820915, 12.2353369 45.4819642, 12.2320948 45.482749, 12.2307591 45.4830554, 12.2261733 45.4841336, 12.2258948 45.4842794, 12.2256878 45.48447, 12.2255421 45.48467, 12.2254847 45.4850324, 12.2250923 45.486362, 12.2252394 45.4863676, 12.2256291 45.4875851, 12.2275016 45.4872609, 12.2276623 45.4879211, 12.2277306 45.4879534, 12.2277601 45.4880625, 12.2277761 45.4881218, 12.2279634 45.4887101, 12.2277458 45.4887444, 12.2278877 45.4892577, 12.2271812 45.4893035, 12.2273563 45.4902381, 12.2269607 45.4902466, 12.2270017 45.4905766, 12.2269718 45.4906815, 12.2263937 45.4905912, 12.2255328 45.4904877, 12.2253339 45.4905627, 12.2251851 45.4904329, 12.2248549 45.4903994, 12.224362 45.4903318, 12.2240578 45.4906073, 12.2238743 45.4908039, 12.2238044 45.4908821, 12.2239049 45.4909711, 12.2242069 45.491192, 12.2256066 45.4919916, 12.2266462 45.4925859, 12.2283615 45.4936233, 12.2298876 45.4944965, 12.2310331 45.4951936, 12.2313969 45.4952165, 12.2316971 45.4951765, 12.23197 45.4952931, 12.2322429 45.4954699, 12.233415 45.4958815, 12.2334111 45.4967791, 12.2349362 45.4978288, 12.2362273 45.4986742, 12.2375396 45.499576, 12.2404436 45.5015989, 12.240581 45.5014902, 12.2404506 45.5009336, 12.2410348 45.5000762, 12.2414775 45.5000536, 12.2432715 45.4993762, 12.2434834 45.499327, 12.243958 45.4990706, 12.2440756 45.4991136, 12.2449205 45.4994255, 12.2457097 45.5011854, 12.2461361 45.5036109, 12.244341 45.5041808, 12.2473759 45.5063275, 12.2505197 45.5052877, 12.2551407 45.5038491, 12.2576302 45.5035085, 12.2602232 45.5040936, 12.2611598 45.5040712, 12.2667686 45.5030826, 12.2722891 45.5023583, 12.2708293 45.4990992, 12.2675598 45.4940246, 12.266808 45.4933555, 12.2673814 45.4930123, 12.2664979 45.4922299, 12.2655682 45.4927446, 12.2654993 45.4926494, 12.2646455 45.4930295, 12.2628111 45.4904622, 12.2612205 45.491058, 12.2611462 45.49102, 12.2602548 45.4910559, 12.2599974 45.4911894, 12.2597471 45.49124, 12.2594762 45.4912814, 12.2593433 45.491309, 12.2592627 45.4911472, 12.2590275 45.4907265, 12.2577183 45.4909031, 12.2572512 45.4899781, 12.2553655 45.4906957, 12.2550407 45.490851, 12.254221 45.4916476, 12.254119 45.4916748, 12.2539572 45.4917044, 12.2538763 45.491724, 12.2538278 45.4915793, 12.2537185 45.4915105, 12.2538219 45.4914072, 12.2539918 45.4912438, 12.254125 45.4911482, 12.2541587 45.4911682, 12.2551377 45.4903017, 12.2551563 45.4902852, 12.2560962 45.4894502, 12.2569471 45.4886948, 12.2570799 45.4885768, 12.25716 45.4885055, 12.2573373 45.4883399, 12.2574353 45.4882543, 12.2575345 45.4881677, 12.2577792 45.4879325, 12.2578457 45.4878958, 12.2580387 45.4877702, 12.258109 45.487744, 12.2581307 45.48773, 12.258145 45.4877183, 12.2633181 45.4829888, 12.2650488 45.4816539, 12.2655302 45.4812718, 12.265603 45.4812051, 12.2663447 45.4805699, 12.2668194 45.4800824, 12.2670479 45.4796613, 12.267174 45.4793372, 12.2672221 45.4789977, 12.2672273 45.4786202, 12.2672213 45.478636, 12.267151 45.4786851, 12.2671233 45.478702, 12.2670903 45.4787099, 12.2670603 45.478709, 12.2670388 45.4787028, 12.2666384 45.4784642, 12.2659048 45.4790605, 12.2660577 45.4791525, 12.2660091 45.4791885, 12.2660616 45.4792192, 12.2655422 45.4796364, 12.2654926 45.4796762, 12.2653733 45.479772, 12.2653112 45.4797344, 12.2652842 45.4797305, 12.2652532 45.4797373, 12.2651943 45.4797759, 12.2647703 45.4795371, 12.2646817 45.4795098, 12.2646054 45.479497, 12.2645315 45.4794952, 12.2644486 45.4795076, 12.26433 45.4794299, 12.2642323 45.4794972, 12.2640413 45.4793752, 12.2639835 45.4793332, 12.2622213 45.4805262), (12.2656186 45.5025005, 12.2653014 45.5024191, 12.2651759 45.5024057, 12.2650368 45.5024027, 12.2649157 45.50241, 12.2648199 45.5024255, 12.2647222 45.5024525, 12.2640547 45.5025906, 12.2638681 45.5026547, 12.2632603 45.5030086, 12.2631011 45.5030665, 12.2627467 45.502262, 12.2628463 45.5022385, 12.2636322 45.5020016, 12.263706 45.5019753, 12.2637717 45.5019499, 12.2638267 45.5019227, 12.263879 45.5018945, 12.263942 45.5018531, 12.2640399 45.5017742, 12.2637625 45.5014384, 12.2633517 45.5015922, 12.2630498 45.5011379, 12.2626207 45.5003047, 12.2623186 45.500377, 12.2624022 45.5005484, 12.2622459 45.5006113, 12.2621885 45.5006488, 12.262081 45.5007579, 12.2619677 45.5008354, 12.2618675 45.5008875, 12.2617611 45.5009364, 12.2616833 45.5009777, 12.26161 45.501042, 12.2615648 45.5011027, 12.2615356 45.5011713, 12.2614209 45.5013446, 12.2611728 45.501516, 12.2610804 45.5015622, 12.2609907 45.501591, 12.2608891 45.5016183, 12.2603736 45.5017316, 12.2606448 45.5023645, 12.2604155 45.5023563, 12.2600235 45.5017449, 12.2596544 45.501838, 12.2593112 45.5010289, 12.2590258 45.5010848, 12.2587867 45.5007378, 12.2586781 45.5004433, 12.2591161 45.5003642, 12.2589193 45.4997134, 12.2576902 45.4999757, 12.2576462 45.4999103, 12.2574473 45.4996148, 12.2577027 45.4996228, 12.2577151 45.4994288, 12.2577001 45.4993812, 12.2576513 45.4993499, 12.2575207 45.499349, 12.2574491 45.4991152, 12.2569093 45.4984785, 12.2569941 45.4984389, 12.257026 45.498424, 12.2571158 45.4985293, 12.2572888 45.4984466, 12.2573545 45.4986017, 12.2581111 45.4984222, 12.2584742 45.4983137, 12.2585225 45.4983984, 12.2588727 45.4982633, 12.2587667 45.4981519, 12.258979 45.4980542, 12.2591136 45.4982207, 12.2591707 45.4982029, 12.2591955 45.4981951, 12.2596568 45.4980158, 12.2590405 45.4972552, 12.2591977 45.4972132, 12.2594507 45.4975218, 12.2597255 45.4974032, 12.2594673 45.4971057, 12.2589984 45.4972083, 12.2585148 45.4973481, 12.2584668 45.4973331, 12.2583003 45.4971389, 12.2582856 45.4971066, 12.2583019 45.497075, 12.258322 45.4970542, 12.2583535 45.4970316, 12.2591319 45.4966735, 12.2595784 45.4964661, 12.2607081 45.4959264, 12.2607346 45.4959162, 12.2607818 45.4958986, 12.2608292 45.4958536, 12.2608556 45.495825, 12.2609259 45.4957829, 12.26098 45.495739, 12.2610273 45.4956958, 12.2610592 45.4956517, 12.2610811 45.4956025, 12.2611039 45.4955442, 12.2611095 45.4954888, 12.2610996 45.4954362, 12.2610861 45.4953797, 12.2610656 45.4953184, 12.2610401 45.4952422, 12.2611355 45.4953108, 12.2612362 45.4953802, 12.2612905 45.4953973, 12.2613542 45.4954057, 12.2614289 45.4954018, 12.2615057 45.4953811, 12.2617417 45.4952779, 12.2623632 45.4960371, 12.2624032 45.4960815, 12.262146 45.4961863, 12.2623264 45.4963935, 12.2626186 45.4967922, 12.2624693 45.4968601, 12.2627969 45.4972097, 12.262905 45.4971617, 12.26385 45.4982862, 12.2638685 45.4983079, 12.2639116 45.4983587, 12.2639698 45.4984474, 12.2640249 45.4985936, 12.2640759 45.498775, 12.2641145 45.4990431, 12.2641806 45.4996043, 12.2642386 45.4997471, 12.264344 45.4999273, 12.2652104 45.4997917, 12.2653614 45.4997292, 12.2666111 45.4992407, 12.2666566 45.4993032, 12.2666141 45.4993221, 12.2665953 45.4993008, 12.2655402 45.499739, 12.2656603 45.4998734, 12.2667657 45.4994087, 12.2669831 45.4997176, 12.2671505 45.4999461, 12.2675789 45.500512, 12.2675989 45.500546, 12.2676026 45.5005816, 12.2675856 45.5006113, 12.2675478 45.500635, 12.2671277 45.500754, 12.267247 45.5008973, 12.2676003 45.5013216, 12.2680581 45.5019207, 12.2677121 45.5020464, 12.2675081 45.5021161, 12.2673022 45.502197, 12.2670809 45.5022932, 12.2669311 45.5020099, 12.2655399 45.5022085, 12.2656186 45.5025005)))",residential,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
