,geometry,name,shop,check_date,opening_hours,wheelchair,name:de,name:it,alt_name,addr:housenumber,addr:street,phone,cafe,outdoor_seating,level,amenity,building,city,addr:postcode,email,addr:place,noname,addr:city,facebook,website,name:en,delivery:description:it,addr:country,cuisine,source,contact:mobile,organic,payment:credit_cards,payment:debit_cards,operator,ref:vatin,contact:phone,description,diet:kosher,diet:vegan,payment:online,payment:mastercard,payment:visa,start_date,check_date:opening_hours,fixme,delivery,payment:bancomat,payment:cash,payment:coins,addr:unit,payment,toilets,payment:maestro,contact:facebook,payment:pos,indoor_seating,smoking,opening_hours:signed,contact:instagram,air_conditioning,craft,fax,phone:delivery,payment:cards,contact:whatsapp,opening_hours:phone,payment:online_payment,communication:mobile_phone,phone:mobile,kids_area,contact:website,internet_access,second_hand,addr:state,branch,brand,butcher,diet:halal,addr:province,takeaway,contact:email,bar,payment:bancoposta,payment:postepay,mobile,building:levels,roof:levels,wheelchair:description,addr:interpolation,internet_access:fee,addr:hamlet,contact:twitter,contact:fax,roof:shape,layer,survey:date
66,POINT (12.3234145 45.4389617),Panificio Pasticceria Trevisan,bakery,2025-02-13,,,,,,636,,+39 041 720713,,,,,,"Venezia, Veneto, Italy",,,Santa Croce,,,,,,,,,,,,,,Irma e Luciana Snc,IT02056250273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,POINT (12.3353719 45.4407753),Pasticceria Martini di Palombella Lorenzo,pastry,,"We-Mo 07:00-20:30, Tu off",yes,,,,4310,,+39 347 850 6919;+39 041 5227287,,,,,,"Venezia, Veneto, Italy",30121,giorgia.95.p@hotmail.it,Cannaregio,,Venezia,https://www.facebook.com/PasticceriaMartiniDiPalombella/,,,Attivazione servizio a domicilio di generi di prima necessità per COVID-19,,,,,,,,,IT03045650276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,POINT (12.3201038 45.4361075),Panificio Majer,bakery,,Mo-Su 10:00-21:00,yes,,,,287/a,Fondamenta Pagan,,,,,,,"Venezia, Veneto, Italy",,,,,,,,Majer bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,POINT (12.23314 45.4850939),La Partenopea,pastry,,,,,,,158,Via Piave,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,POINT (12.2356986 45.4863119),Antica Bottega di Vino,wine,,,,,,,13,Via Felice Cavallotti,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,POINT (12.2386991 45.4872901),Antico Forno,bakery,,"Mo-Sa 07:30-13:00; Mo, Tu, Th 16:30-19:00",,,,,27,Via Cappuccina,,,,,,,"Venezia, Veneto, Italy",30172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,POINT (12.3254585 45.4439356),Pasticceria,bakery,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,POINT (12.3211927 45.4412242),Venchi,chocolate,2024-03-14,,yes,,,,,,,,,,ice_cream,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,Venchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,POINT (12.3380749 45.439804),Enoteca Boldrin,wine,,,,,,,5550,,,,,,,,"Venezia, Veneto, Italy",30121,,Cannaregio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,POINT (12.3255227 45.4445073),Panificio Volpe Giovanni,bakery,,Mo-Sa 07:00-19:00,,,,,1143,Ghetto Vecchio,+39 041 715178,,,,,,"Venezia, Veneto, Italy",,,Cannaregio,,,,,,,,,,,,,,,,+39 041 715178,Specialità dolci ebraici e prodotti Kasher,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,POINT (12.3262561 45.4317345),Foleta,bakery,,Mo-Su 07:30-19:30+,yes,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,POINT (12.3351475 45.4358592),Marchini Time,pastry,2024-08-21,Mo-Su 07:30-20:30,,,,,4589,Campo San Luca,+39 041 2413087;+39 041 5287507,,,,,,"Venezia, Veneto, Italy",30124,info@golosessi.com,San Marco,,Venezia,https://www.facebook.com/pasticceriamarchini/,https://www.marchinitime.it/,,Attivazione servizio a domicilio di generi di prima necessità per COVID-19,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,POINT (12.3327383 45.4377961),,bakery,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,POINT (12.3312514 45.4372892),Pasticceria Rizzardini,pastry,2023-01-28,09:30-19:30,yes,,Pasticceria Rizzardini,,1411-1412,Campiello dei Meloni,,,,0,,,"Venezia, Veneto, Italy",,,,,,,,Pasticceria Rizzardini,,,italian,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
