,geometry,name,stars,tourism,amenity,cuisine,wheelchair,opening_hours,diet:vegetarian,check_date,description,opening_hours:url,website,note,addr:housenumber,addr:street,contact:facebook,contact:phone,contact:website,operator,smoking,alt_name,addr:city,addr:country,addr:postcode,changing_table,fax,outdoor_seating,phone,toilets,toilets:access,toilets:wheelchair,email,source,addr:housename,internet_access,internet_access:fee,diet:gluten_free,breakfast,snack,reservation,addr:province,cash_withdrawal,diet:vegan,takeaway,air_conditioning,bar,diet:meat,name:de,old_name,cafe,contact:email,snacks,guest_house,payment:cash,payment:debit_cards,payment:maestro,payment:mastercard,payment:visa,payment:visa_debit,payment:visa_electron,rooms,capacity,delivery,shop,contact:instagram,building,addr:place,brewery,diet:Carne,diet:lacto_vegetarian,diet:ovo_vegetarian,diet:pescetarian,layer,building:levels,elevator,restaurant,area,roof:levels,roof:shape,city,created_by,diet:kosher,payment:credit_cards,indoor_seating,name:en,contact:housenumber,contact:street,brand,brand:wikidata,brand:wikipedia,description:en,internet_access:operator,mobile,payment:apple_pay,payment:google_pay,url,short_name,wikidata,fixme,kids_area,level,ref:vatin,restaurant:type:it,delivery:description:it,facebook,name:it,wikimedia_commons,cash,name:ja,opening_hours:signed,addr:unit,wikipedia,contact:skype,highchair,check_date:opening_hours,contact:twitter,diet:fish,contact:tripadvisor,phone:mobile,source:name,microbrewery,self_service,diet:omnivore,addr:floor,croissant:type,price,diet:halal,check_date:currency:XBT,contact:pinterest,currency:XBT,payment:lightning,payment:lightning_contactless,payment:onchain,charge,currency:XBT:operator,barrier,other,addr:suburb,organic,entrance,tourism_1,tourism_2,name:zh-Hans,name:zh-Latn-pinyin,drive_through,payment:bancomat,name:signed,payment:debit_cards:min_payment,survey:date,payment,changing_table:fee,contact:mobile,kids_area:outdoor,breakfast:buffet,swimming_pool,branch,contact:fax,contact:neighbourhood,payment:online_payment,cash_withdrawal:foreign_cards,cash_withdrawal:purchase_required,internet_access:ssid,addr:subdistrict,name:es,name:ru,phone_1,contact:city,contact:postcode,baby_feeding,addr:conscriptionnumber,name:cs,website:en,diet:dairy_free,diet:lactose_free,start_date,source:addr,payment:american_express,payment:coins,payment:notes,payment:v_pay,contact:whatsapp,website:orders,phone:delivery,craft,payment:credit_card,diet:mediterranean,payment:contactless,ele,ref:cin,ref:cir,contact:place,opening_hours:kitchen,payment:meal_voucher,payment:mobile_phone,payment:samsung_pay,takeaway:description,internet_access:type,diet:non-vegetarian,payment:electronic_purses,payment:ticket_restaurant,long_name,website:menu,diet:chicken,name:zh,website:booking,changing_table:count,drink:wine,contact:mail,name:nl,payment:satispay,operator:type,operator:wikidata,ref,name_historic,roof:colour,name:ko,floating,platform,roof:material,indoor,indoor:area,indoor:level,height,addr:state,opening_date,building:levels:underground,location,type,wheelchair:description,addr:hamlet,building:part,all_you_can_eat,access,contact:youtube,pets,food,tobacco,fast_food,building:colour,building:use,check_date:internet_access,building:material,landuse,bicycle,dog,parking,amenity_1,historic,roof:orientation
25,POINT (12.471498 45.4465383),Sunshine Bar,,,bar,,,,,2024-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,POINT (12.4572435 45.4548753),In Busa,,,restaurant,pizza,,"Tu-Fr 17:30-23:00; Sa, Su 12:00-14:15, 17:30-23:00",,,,,,,22,Via Treportina,https://www.facebook.com/ristorantepizzeriainbusa/,+39 041 658921,https://www.ristorantepizzeriainbusa.it/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,POINT (12.4618172 45.444675),Giardino,,,restaurant,,,"PH,Mo-Su 12:00-14:00,17:30-21:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,POINT (12.5285641 45.4640347),Cavallo Marino,,,restaurant,,yes,,,2024-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,POINT (12.530612 45.4658118),Cantinetta Lispida,,,restaurant,,yes,,,2023-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,POINT (12.5218237 45.4657913),Ca' Rustica,,,restaurant,,,,,2024-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,POINT (12.5344437 45.4650098),Bar da Italo,,,bar,,,,,2023-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,POINT (12.5220255 45.4657308),Barena Bar,,,bar,,,,,2024-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,POINT (12.5339877 45.4667692),Ristorante Italy,,,restaurant,,,,,2023-08-19,,,,,,,,,,Italy Camping Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,POINT (12.5316351 45.4643904),Al Mare,,,restaurant,italian,yes,,,2023-08-19,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
